# Generated by tools/parity_index.py. Do not hand-edit: rebuild with `just parity-update` and
# review the diff, the same rule the generated data tables live under.
#
# One row per vanilla citation in `crates/*/src`. `vanilla_hash` keys the cited lines as they exist
# in the decompiled tree; `our_hash` keys the body of the Rust item the citation is attached to,
# with comment-only lines dropped. `just check-parity` recomputes both and fails when either moved,
# naming which: the vanilla side means the citation drifted or the tree was regenerated, our side
# means the transcription was edited after it was checked against the game.
#
# This says whether a transcription is still the code it was checked against. It never says whether
# it is correct. `just parity-coverage` says what is cited by nothing at all, which is the other
# half and the half that cannot overstate.
rust_file	item	vanilla_file	lines	vanilla_hash	our_hash
crates/terrustia-proto/src/conditional_drops.rs	mod luck_scaling :: fn the_variants_match_the_constructors_source_uses	ItemDropDatabase.cs	591	c499b06b5ab3	170a08fcdd5f
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn black_recluses_web_is_mode_branched_not_a_flat_rate_in_every_mode	ItemDropDatabase.cs	959	355d31fba5ce	ecd79bf708b2
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn both_moons_use_the_same_trophy_step	Conditions.cs	127-166	ccec12f884e7	1b4afc3f843d
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn both_moons_use_the_same_trophy_step	Conditions.cs	179-217	0c47ee8e1fe6	1b4afc3f843d
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn each_biome_key_drops_in_its_own_zone	Conditions.cs	1100-1102	0eec29d92216	adbc5c9c7835
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn everscream_drops_its_frost_moon_loot	ItemDropDatabase.cs	363-375	e6469829acf9	23842bfe4448
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn hornet_stinger_is_two_in_three_in_classic_not_one_in_three	ItemDropDatabase.cs	1170	1eac08736b06	bdaca904ece3
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn mothron_only_drops_the_broken_hero_sword_after_all_three_mechs	ItemDropDatabase.cs	201-203	e44874380868	1df1ef25a169
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn mourning_wood_drops_its_own_pool_and_trophy	ItemDropDatabase.cs	354-362	b5eb5ffcb91f	d5ecda63f58f
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn pumpking_drops_its_weapon_pool_and_trophy_only_during_a_pumpkin_moon	ItemDropDatabase.cs	346-353	8e30ad88fc45	a0ff0697be23
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn queen_bees_1130_roll_is_three_in_four_not_one_in_four	ItemDropDatabase.cs	551	218943b9abcc	a65ed7de0712
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn red_hat_skeletron_only_drops_its_own_set_when_ai3_is_set	ItemDropDatabase.cs	565-569	997a754be665	2d97a575b3e1
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn red_hat_skeletron_only_drops_its_own_set_when_ai3_is_set	NPC.cs	67435-67446	1925e3c571e4	2d97a575b3e1
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn the_bags_and_trophies_are_unique	ItemDropDatabase.cs	896-897	3261bea8f901	9dedc63875e9
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn the_creepers_tissue_sample_and_crimtane_rolls_are_two_in_three_or_one_in_two_not_one_in_three_or_one_in_four	ItemDropDatabase.cs	502-503	2d1cd4a01b65	6d2b79b739d6
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn the_cultist_drops_the_ancient_manipulator	ItemDropDatabase.cs	590	442f43d555da	6ca5be5c0432
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn the_cultist_drops_the_ancient_manipulator	ItemDropDatabase.cs	591	c499b06b5ab3	6ca5be5c0432
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn the_frost_moon_wave_gate_matches_the_games_own_formula	Conditions.cs	57-78	f2b3572ff710	edf3aaf640f1
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn the_progression_chain_rates_match_vanilla	ItemDropDatabase.cs	492	04b27bea8b11	b99c6e3675b8
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn the_progression_chain_rates_match_vanilla	ItemDropDatabase.cs	512	6cbd780ead53	b99c6e3675b8
crates/terrustia-proto/src/conditional_drops.rs	mod tests :: fn the_pumpkin_moon_wave_gate_matches_the_games_own_formula	ItemDropDatabase.cs	91-113	ac079582643f	fa13046fc7af
crates/terrustia-proto/src/conditional_drops.rs	struct Conditions	Conditions.cs	1100-1102	0eec29d92216	86e57fe0048c
